Book	Chapter	Verse	Hebrew
Jeremiah	8	1	
Jeremiah	9	1	
Jeremiah	10	1	
Jeremiah	11	1	
Jeremiah	12	1	
Jeremiah	13	1	
Jeremiah	14	1	
Jeremiah	15	1	
Jeremiah	16	1	
Jeremiah	17	1	
Jeremiah	18	1	
Jeremiah	19	1	
Jeremiah	20	1	
Jeremiah	21	1	
Jeremiah	22	1	
Jeremiah	23	1	
Jeremiah	24	1	
Jeremiah	25	1	
Jeremiah	26	1	
Jeremiah	27	1	
Jeremiah	28	1	
Jeremiah	29	1	
Jeremiah	30	1	
Jeremiah	31	1	
Jeremiah	32	1	
Jeremiah	33	1	
Jeremiah	34	1	
Jeremiah	35	1	
Jeremiah	36	1	
Jeremiah	37	1	
Jeremiah	38	1	
Jeremiah	39	1	
Jeremiah	40	1	
Jeremiah	41	1	
Jeremiah	42	1	
Jeremiah	43	1	
Jeremiah	44	1	
Jeremiah	45	1	
Jeremiah	46	1	
Jeremiah	47	1	
Jeremiah	48	1	
Jeremiah	49	1	
Jeremiah	50	1	
Jeremiah	51	1	
Jeremiah	52	1	
Ezekiel	1	1	
Ezekiel	2	1	
Ezekiel	3	1	
Ezekiel	4	1	
Ezekiel	5	1	
Ezekiel	6	1	
Ezekiel	7	1	
Ezekiel	8	1	
Ezekiel	9	1	
Ezekiel	10	1	
Ezekiel	11	1	
Ezekiel	12	1	
Ezekiel	13	1	
Ezekiel	14	1	
Ezekiel	15	1	
Ezekiel	16	1	
Ezekiel	17	1	
Ezekiel	18	1	
Ezekiel	19	1	
Ezekiel	20	1	
Ezekiel	21	1	
Ezekiel	22	1	
Ezekiel	23	1	
Ezekiel	24	1	
Ezekiel	25	1	
Ezekiel	26	1	
Ezekiel	27	1	
Ezekiel	28	1	
Ezekiel	29	1	
Ezekiel	30	1	
Ezekiel	31	1	
Ezekiel	32	1	
Ezekiel	33	1	
Ezekiel	34	1	
Ezekiel	35	1	
Ezekiel	36	1	
Ezekiel	37	1	
Ezekiel	38	1	
Ezekiel	39	1	
Ezekiel	40	1	
Ezekiel	41	1	
Ezekiel	42	1	
Ezekiel	43	1	
Ezekiel	44	1	
Ezekiel	45	1	
Ezekiel	46	1	
Ezekiel	47	1	
Ezekiel	48	1	
Hosea	1	1	
Hosea	2	1	
Hosea	3	1	
Hosea	4	1	
Hosea	5	1	
Hosea	6	1	
Hosea	7	1	
Hosea	8	1	
Hosea	9	1	
Hosea	10	1	
Hosea	11	1	
Hosea	12	1	
Hosea	13	1	
Hosea	14	1	
Joel	1	1	
Joel	2	1	
Joel	3	1	
Joel	4	1	
Amos	1	1	
Amos	2	1	
Amos	3	1	
Amos	4	1	
Amos	5	1	
Amos	6	1	
Amos	7	1	
Amos	8	1	
Amos	9	1	
Obadiah	1	1	
Jonah	1	1	
Jonah	2	1	
Jonah	3	1	
Jonah	4	1	
Micah	1	1	
Micah	2	1	
Micah	3	1	
Micah	4	1	
Micah	5	1	
Micah	6	1	
Micah	7	1	
Nahum	1	1	
Nahum	2	1	
Nahum	3	1	
Habakkuk	1	1	
Habakkuk	2	1	
Habakkuk	3	1	
Zephaniah	1	1	
Zephaniah	2	1	
Zephaniah	3	1	
Haggai	1	1	
Haggai	2	1	
Zechariah	1	1	
Zechariah	2	1	
Zechariah	3	1	
Zechariah	4	1	
Zechariah	5	1	
Zechariah	6	1	
Zechariah	7	1	
Zechariah	8	1	
Zechariah	9	1	
Zechariah	10	1	
Zechariah	11	1	
Zechariah	12	1	
Zechariah	13	1	
Zechariah	14	1	
Malachi	1	1	
Malachi	2	1	
Malachi	3	1	
Psalms	1	1	
Psalms	2	1	
Psalms	3	1	
Psalms	4	1	
Psalms	5	1	
Psalms	6	1	
Psalms	7	1	
Psalms	8	1	
Psalms	9	1	
Psalms	10	1	
Psalms	11	1	
Psalms	12	1	
Psalms	13	1	
Psalms	14	1	
Psalms	15	1	
Psalms	16	1	
Psalms	17	1	
Psalms	18	1	
Psalms	19	1	
Psalms	20	1	
Psalms	21	1	
Psalms	22	1	
Psalms	23	1	
Psalms	24	1	
Psalms	25	1	
Psalms	26	1	
Psalms	27	1	
Psalms	28	1	
Psalms	29	1	
Psalms	30	1	
Psalms	31	1	
Psalms	32	1	
Psalms	33	1	
Psalms	34	1	
Psalms	35	1	
Psalms	36	1	
Psalms	37	1	
Psalms	38	1	
Psalms	39	1	
Psalms	40	1	
Psalms	41	1	
Psalms	42	1	
Psalms	43	1	
Psalms	44	1	
Psalms	45	1	
Psalms	46	1	
Psalms	47	1	
Psalms	48	1	
Psalms	49	1	
Psalms	50	1	
Psalms	51	1	
Psalms	52	1	
Psalms	53	1	
Psalms	54	1	
Psalms	55	1	
Psalms	56	1	
Psalms	57	1	
Psalms	58	1	
Psalms	59	1	
Psalms	60	1	
Psalms	61	1	
Psalms	62	1	
Psalms	63	1	
Psalms	64	1	
Psalms	65	1	
Psalms	66	1	
Psalms	67	1	
Psalms	68	1	
Psalms	69	1	
Psalms	70	1	
Psalms	71	1	
Psalms	72	1	
Psalms	73	1	
Psalms	74	1	
Psalms	75	1	
Psalms	76	1	
Psalms	77	1	
Psalms	78	1	
Psalms	79	1	
Psalms	80	1	
Psalms	81	1	
Psalms	82	1	
Psalms	83	1	
Psalms	84	1	
Psalms	85	1	
Psalms	86	1	
Psalms	87	1	
Psalms	88	1	
Psalms	89	1	
Psalms	90	1	
