word,j_count,e_count,p_count,total_count,j_rate_per_10k,e_rate_per_10k,p_rate_per_10k,j_share,e_share,p_share,j_expected,e_expected,p_expected,j_log2_enrichment,e_log2_enrichment,p_log2_enrichment,j_woe_bits,e_woe_bits,p_woe_bits,j_signed_info_bits,e_signed_info_bits,p_signed_info_bits,j_vs_e_woe_bits,j_vs_e_signed_info_bits,j_vs_p_woe_bits,j_vs_p_signed_info_bits,e_vs_p_woe_bits,e_vs_p_signed_info_bits,characteristic_source,characteristic_info_bits,global_surprise_bits,g2,p_value,q_value,significant_fdr_0_05,suspected_extraction_fragment,headline_reliable
hail,0,17,0,17,0,7.037006375,0,0,1,0,3.61056186,3.574166261,9.815271879,-2.974213885,2.169685746,-4.417018755,-3.238775476,7.039609699,-5.579878827,-5.855468511,38.24755362,-21.12299771,-5.144914892,-17.12455591,1.442786185,0,6.587701077,32.3920851,E,38.24755362,38.24755362,53.0223679,3.064355175e-12,1.107803022e-10,True,False,True
ass,5,25,1,31,2.048844452,10.34853879,0.1507340749,0.1612903226,0.8064516129,0.03225806452,6.583965745,6.517597299,17.89843696,-0.3276967138,1.899913624,-3.644970701,-0.3778291903,3.882695073,-4.796735291,-0.3726073555,36.31563489,-31.69494516,-2.228808147,-10.64604882,3.317529166,6.025359097,5.546337314,41.96838663,E,36.31563489,42.34099399,58.69708121,1.79510875e-13,7.646096872e-12,True,False,True
i,139,203,272,614,56.95787576,84.03013494,40.99966839,0.2263843648,0.3306188925,0.4429967427,130.404999,129.0904755,354.5045255,0.09374574592,0.6531260328,-0.3830680159,0.1222469004,0.8990724868,-0.7842074104,0.5107998621,34.52349684,-32.25644473,-0.5633133344,-9.164502592,0.4791085671,6.897450488,1.042421901,40.91014746,E,34.52349684,41.42094733,57.42162571,3.396662573e-13,1.405042537e-11,True,False,True
dream,5,23,0,28,2.048844452,9.520655683,0,0.1785714286,0.8214285714,0,5.94680777,5.886862076,16.16633015,-0.1879719501,1.921801897,-5.090208438,-0.2044497506,4.005763027,-6.283812763,-0.143929505,34.49493315,-34.79081975,-2.110852103,-9.177695481,4.902513413,9.47358208,7.013365516,43.82458573,E,34.49493315,43.96851524,60.95330474,5.809758091e-14,2.687481646e-12,True,False,True
now,31,43,2,76,12.7028356,17.79948671,0.3014681499,0.4078947368,0.5657894737,0.02631578947,16.14133538,15.97862564,43.88003899,0.9363949988,1.416675186,-4.161761699,1.361380075,2.288210852,-5.349487687,10.66317742,32.93297259,-80.18909375,-0.4810162846,-1.49899051,5.099928279,48.75511167,5.580944564,71.02490684,E,32.93297259,81.68808426,113.2437306,2.567061951e-25,3.45109391e-23,True,False,True
this,118,145,145,408,48.35272906,60.02152496,21.85644087,0.2892156863,0.3553921569,0.3553921569,86.65348465,85.77999025,235.5665251,0.4462630878,0.7570117963,-0.7004096878,0.5994896666,1.057025233,-1.311552288,9.621639123,32.75967246,-58.66119113,-0.3124409942,-2.205196351,1.150490046,28.10671502,1.46293104,51.24474836,E,32.75967246,60.86638748,84.37872974,4.757640704e-19,3.654887555e-17,True,False,True
nile,4,21,0,25,1.639075561,8.692772581,0,0.16,0.84,0,5.309649795,5.256126854,14.43422335,-0.3227559725,1.948200395,-4.935485844,-0.3656595073,4.166841901,-6.123258918,-0.3164448639,32.75133139,-31.06323192,-2.271974205,-9.266965129,4.612947669,7.578865664,6.884921874,40.01375219,E,32.75133139,40.33019705,55.90952476,7.234373987e-13,2.881692305e-11,True,False,True
because,124,148,150,422,50.8113424,61.26334962,22.61011124,0.2938388626,0.3507109005,0.355450237,89.62688853,88.72342129,243.6496902,0.4690232533,0.7379570565,-0.7001638716,0.6317840989,1.027470672,-1.311421102,11.14131815,31.83805296,-60.64199372,-0.2704498727,-1.709982115,1.173251885,30.51392288,1.443701758,51.21065769,E,31.83805296,62.35197584,86.43819251,1.698967158e-19,1.405568599e-17,True,False,True
meaning,0,13,0,13,0,5.381240169,0,0,1,0,2.761017893,2.733185964,7.505796143,-2.622741515,2.146762602,-4.065546384,-2.864316185,6.664975164,-5.205364443,-4.477711214,29.24812924,-16.1528806,-4.770280357,-13.09524864,1.442786185,0,6.213066542,24.77041802,E,29.24812924,29.24812924,40.54651663,1.56832398e-09,4.352857912e-08,True,False,True
heavy,9,23,0,32,3.687920013,9.520655683,0,0.28125,0.71875,0,6.796351737,6.727842373,18.47580589,0.4170778036,1.738355756,-5.27365458,0.5842826758,3.217203535,-6.473409468,0.6105097835,27.38264777,-39.76093686,-1.322119676,-4.674158652,5.69124584,17.05244774,7.013365516,43.82458573,E,27.38264777,44.43509551,61.60012235,4.204393831e-14,2.009700251e-12,True,False,True
hand,55,95,100,250,22.53728897,39.32444739,15.07340749,0.22,0.38,0.4,53.09649795,52.56126854,144.3422335,0.05524075712,0.8528703333,-0.5309282877,0.07431277799,1.209187254,-1.034945511,0.06196390487,27.00689847,-22.88520402,-0.800058614,-8.083372383,0.5872291486,3.961677927,1.387287763,30.9066125,E,27.00689847,30.9685764,42.93156284,4.75915205e-10,1.421796675e-08,True,False,True
cows,0,12,0,12,0,4.967298617,0,0,1,0,2.548631901,2.52294089,6.928427209,-2.519648022,2.138824783,-3.962452891,-2.753268929,6.553884103,-5.094303415,-4.13327189,26.99827314,-14.91035132,-4.659189296,-12.08792182,1.442786185,0,6.101975481,22.86500125,E,26.99827314,26.99827314,37.42755381,7.459504041e-09,1.823340136e-07,True,False,True
owner,0,12,0,12,0,4.967298617,0,0,1,0,2.548631901,2.52294089,6.928427209,-2.519648022,2.138824783,-3.962452891,-2.753268929,6.553884103,-5.094303415,-4.13327189,26.99827314,-14.91035132,-4.659189296,-12.08792182,1.442786185,0,6.101975481,22.86500125,E,26.99827314,26.99827314,37.42755381,7.459504041e-09,1.823340136e-07,True,False,True
ears,2,20,4,26,0.8195377807,8.278831029,0.6029362998,0.07692307692,0.7692307692,0.1538461538,5.522035786,5.466371928,15.01159229,-1.224192138,1.826048386,-1.819000101,-1.402267585,3.567522868,-2.772585517,-2.564690087,26.77716452,-14.40144547,-3.051316839,-12.46302306,0.5948205274,0.08730401339,3.646137367,24.29977844,E,26.77716452,26.86446853,37.24206124,8.184443488e-09,1.978060443e-07,True,False,True
serve,3,19,2,24,1.229306671,7.864889478,0.3014681499,0.125,0.7916666667,0.08333333333,5.097263803,5.04588178,13.85685442,-0.6298309393,1.862832972,-2.558062636,-0.7282887111,3.736337315,-3.620625918,-0.8933976126,26.73104434,-18.98890891,-2.493621338,-9.475354803,1.928346877,1.733219369,4.421968216,27.5708661,E,26.73104434,28.46426371,39.45984827,2.700242813e-09,7.215182971e-08,True,False,True
out,69,119,154,342,28.27405343,49.25904462,23.21304754,0.201754386,0.3479532164,0.4502923977,72.63600919,71.90381536,197.4601755,-0.06998573552,0.7265566142,-0.36026865,-0.08595115428,1.009621263,-0.7392915118,-0.1687865567,24.84795012,-16.07270544,-0.7995812624,-10.07769264,0.2909962042,1.302447956,1.090577467,25.98161152,E,24.84795012,26.15039808,36.2521494,1.34259733e-08,3.072381699e-07,True,False,True
elders,3,18,2,23,1.229306671,7.450947926,0.3014681499,0.1304347826,0.7826086957,0.08695652174,4.884877811,4.835636705,13.27948548,-0.5721154415,1.844599617,-2.500347138,-0.6595600161,3.660328698,-3.555007855,-0.7460293358,24.82639054,-17.87472493,-2.417612721,-8.684884987,1.928346877,1.733219369,4.345959599,25.81358058,E,24.82639054,26.55960991,36.81943746,1.011022319e-08,2.376731156e-07,True,False,True
drive,0,11,0,11,0,4.553357066,0,0,1,0,2.33624591,2.312695816,6.351058275,-2.408616709,2.129561861,-3.851421579,-2.632958752,6.433530123,-4.973979466,-3.788832566,24.74841705,-13.66782205,-4.538835316,-11.080595,1.442786185,0,5.981621501,20.95958448,E,24.74841705,24.74841705,34.308591,3.548004191e-08,7.827443091e-07,True,False,True
pit,0,11,0,11,0,4.553357066,0,0,1,0,2.33624591,2.312695816,6.351058275,-2.408616709,2.129561861,-3.851421579,-2.632958752,6.433530123,-4.973979466,-3.788832566,24.74841705,-13.66782205,-4.538835316,-11.080595,1.442786185,0,5.981621501,20.95958448,E,24.74841705,24.74841705,34.308591,3.548004191e-08,7.827443091e-07,True,False,True
go,109,134,157,400,44.66480905,55.46816789,23.66524977,0.2725,0.335,0.3925,84.95439671,84.09802966,230.9475736,0.3607703627,0.6720622801,-0.5576135482,0.4800252354,0.9265711357,-1.082479602,5.861286994,24.07845535,-39.78926825,-0.3128580205,-2.045810372,0.9214051021,17.75662327,1.234263123,35.97379163,E,24.07845535,41.83507862,57.99573359,2.549097597e-13,1.064681346e-11,True,False,True
